FIPS,State,County,PCT_DIABETES_ADULTS13,POVRATE15,CHILDPOVRATE15,MEDHHINC15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,PCT_DIABETES_ADULTS08,GROCPTH11,GROCPTH16,FFRPTH11,FFRPTH16,FOODINSEC_12_14,FOODINSEC_15_17,RECFACPTH11,RECFACPTH16
1001,AL,Autauga,13,12.7,18.8,56580,9.793530396,11.991125,11.4,0.090581351,0.0542711,0.615953188,0.7959767,16.8,16.3,0.072465081,0.108542277
1003,AL,Baldwin,10.4,12.9,19.6,52387,5.460260624,5.424426597,9.8,0.14474573,0.139752975,0.648675309,0.751774622,16.8,16.3,0.085775247,0.10120043
1005,AL,Barbour,18.4,32,45.2,31433,11.42031572,10.73966657,13.6,0.219370407,0.155195158,0.694672955,0.892372158,16.8,16.3,0.073123469,0
1007,AL,Bibb,14.8,22.2,29.3,40767,2.144660992,2.601627008,11.1,0.26379424,0.220916361,0.26379424,0.309282905,16.8,16.3,0,0.0441833
1009,AL,Blount,14.1,14.7,22.2,50487,1.062467654,2.880149823,11.4,0.121608005,0.086862861,0.347451444,0.39956916,16.8,16.3,0.0521177,0.069490289
1011,AL,Bullock,19.6,39.6,51.2,28251,20.15173014,19.74335074,14.9,0.18735363,0.2873288,0.37470726,0.2873288,16.8,16.3,0,0
1013,AL,Butler,17.7,25.8,36,33868,2.832029115,2.926121931,15.1,0.143678161,0.15026296,0.814176245,0.901577761,16.8,16.3,0,0.0500877
1015,AL,Calhoun,14.9,20,30.7,42091,10.04382389,9.178566583,14.5,0.20376109,0.234823448,0.772594133,0.826230649,16.8,16.3,0.067920363,0.0608802
1017,AL,Chambers,16.4,22.4,34.4,35560,8.821524906,10.32855828,16.1,0.23507978,0.207610404,0.675854368,0.860100246,16.8,16.3,0,0
1019,AL,Cherokee,13.3,19.4,30.2,39144,0.132686376,0.2211124,13.6,0.153887585,0.19405418,0.654022237,0.58216254,16.8,16.3,0.0384719,0.0388108
1021,AL,Chilton,13.3,20.2,28.1,42767,1.688604305,1.460530961,10.2,0.160227065,0.114077116,0.480681194,0.501939311,16.8,16.3,0.0457792,0.0456308
1023,AL,Choctaw,18.1,24.4,33.5,35089,11.62806842,7.290419052,14.7,0.220474756,0.229885057,0.440949511,0.459770115,16.8,16.3,0,0
1025,AL,Clarke,16.3,22.2,30.9,37317,11.23251266,11.1547123,14.1,0.195449926,0.246406571,0.938159643,1.026694045,16.8,16.3,0.07817997,0.082135524
1027,AL,Clay,14.6,18.4,27.3,38908,1.928948336,2.32687988,13.2,0.219170076,0.223713647,0.292226768,0.298284862,16.8,16.3,0,0
1029,AL,Cleburne,12.6,18.9,27.7,42136,0.536935555,2.07171577,11,0.20096463,0.134471862,0.535905681,0.336179654,16.8,16.3,0,0
1031,AL,Coffee,15.9,16.2,23.7,46858,7.425411658,5.98120314,12.1,0.099139469,0.13667337,0.71380418,0.780990687,16.8,16.3,0.0594837,0.078099069
1033,AL,Colbert,18.7,18.1,26.9,41171,5.08981574,6.551704535,13.5,0.183371841,0.147256429,0.880184839,0.97557384,16.8,16.3,0.091685921,0.092035268
1035,AL,Conecuh,17.4,28.3,41,29981,14.78309504,13.22977626,14.5,0.379161295,0.079904115,0.227496777,0.559328805,16.8,16.3,0,0
1037,AL,Coosa,17.3,20.3,32.2,36078,6.524480323,10.12480749,13.2,0,0.092515496,0,0.092515496,16.8,16.3,0,0
1039,AL,Covington,14.7,22.3,34.1,36355,3.046753433,4.370326751,13.1,0.236736197,0.160487883,0.604992503,0.722195474,16.8,16.3,0.052608,0.106991922
1041,AL,Crenshaw,16.5,19.9,29.6,36759,15.83537355,17.03906038,12.6,0.431716794,0.287624937,0.287811196,0.575249874,16.8,16.3,0,0
1043,AL,Cullman,14.4,19.4,24.7,39290,3.153374299,3.10960625,11.9,0.161669423,0.182211317,0.646677693,0.765287529,16.8,16.3,0.0373083,0.0485897
1045,AL,Dale,14.1,18.5,29,45294,10.28382257,10.55938033,13.5,0.159658331,0.121881856,0.638633325,0.710977492,16.8,16.3,0.0598719,0.0406273
1047,AL,Dallas,19,34.6,50.1,29682,11.56345443,11.55627093,15.6,0.184945441,0.199595818,0.462363603,0.623736933,16.8,16.3,0.0231182,0.049899
1049,AL,DeKalb,13.4,20.6,28.9,37305,2.254340844,2.166964609,11.2,0.196207588,0.224668614,0.54657828,0.561671534,16.8,16.3,0.070074138,0.0421254
1051,AL,Elmore,13.4,14,19.9,53548,6.559576214,6.943021714,9.9,0.087493438,0.098473658,0.399970002,0.480059084,16.8,16.3,0.0499963,0.0492368
1053,AL,Escambia,17.8,24.4,32,36840,7.576713325,7.219940028,12.3,0.15705984,0.106734977,0.602062719,0.747144839,16.8,16.3,0.0523533,0.0533675
1055,AL,Etowah,16.8,19,30.7,42145,8.619385788,9.400616626,11.6,0.162907028,0.136284874,0.728290243,0.82744388,16.8,16.3,0.067079364,0.077877071
